Year,Series,Winner,W,Loser,W,Favorite,Underdog
2012,Eastern Conf First Round,Boston Celtics (4),4,Atlanta Hawks (5),2,BOS (-190),ATL (+160)
2012,Western Conf First Round,San Antonio Spurs (1),4,Utah Jazz (8),0,SAS (-2500),UTA (+1450)
2012,Western Conf First Round,Oklahoma City Thunder (2),4,Dallas Mavericks (7),0,OKC (-500),DAL (+400)
2012,Western Conf First Round,Los Angeles Lakers (3),4,Denver Nuggets (6),3,LAL (-240),DEN (+195)
2012,Western Conf First Round,Los Angeles Clippers (5),4,Memphis Grizzlies (4),3,MEM (-200),LAC (+170)
2012,Eastern Conf Semifinals,Miami Heat (2),4,Indiana Pacers (3),2,MIA (-950),IND (+625)
2012,Eastern Conf Semifinals,Boston Celtics (4),4,Philadelphia 76ers (8),3,BOS (-205),PHI (+175)
2012,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Clippers (5),0,SAS (-2500),LAC (+1000)
2012,Western Conf Semifinals,Oklahoma City Thunder (2),4,Los Angeles Lakers (3),1,OKC (-450),LAL (+350)
2012,Western Conf Finals,Oklahoma City Thunder (2),4,San Antonio Spurs (1),2,SAS (-205),OKC (+175)
2012,Eastern Conf Finals,Miami Heat (2),4,Boston Celtics (4),3,MIA (-530),BOS (+400)
2012,Finals,Miami Heat (2),4,Oklahoma City Thunder (2),1,OKC (-175),MIA (+155)
2011,Eastern Conf First Round,Chicago Bulls (1),4,Indiana Pacers (8),1,CHI (-4000),IND (+1200)
2011,Eastern Conf First Round,Miami Heat (2),4,Philadelphia 76ers (7),1,MIA (-2500),PHI (+1000)
2011,Eastern Conf First Round,Boston Celtics (3),4,New York Knicks (6),0,BOS (-350),NYK (+250)
2011,Eastern Conf First Round,Atlanta Hawks (5),4,Orlando Magic (4),2,ORL (-650),ATL (+425)
2011,Western Conf First Round,Memphis Grizzlies (8),4,San Antonio Spurs (1),2,SAS (-390),MEM (+280)
2011,Western Conf First Round,Los Angeles Lakers (2),4,New Orleans Hornets (7),2,LAL (-2500),NOH (+1000)
2011,Western Conf First Round,Dallas Mavericks (3),4,Portland Trail Blazers (6),2,DAL (-200),POR (+160)
2011,Western Conf First Round,Oklahoma City Thunder (4),4,Denver Nuggets (5),1,OKC (-220),DEN (+170)
2011,Eastern Conf Semifinals,Chicago Bulls (1),4,Atlanta Hawks (5),2,CHI (-800),ATL (+550)
2011,Eastern Conf Semifinals,Miami Heat (2),4,Boston Celtics (3),1,MIA (-190),BOS (+165)
2011,Western Conf Semifinals,Dallas Mavericks (3),4,Los Angeles Lakers (2),0,LAL (-360),DAL (+280)
2011,Western Conf Semifinals,Oklahoma City Thunder (4),4,Memphis Grizzlies (8),3,OKC (-350),MEM (+275)
2011,Eastern Conf Finals,Miami Heat (2),4,Chicago Bulls (1),1,MIA (-190),CHI (+160)
2011,Western Conf Finals,Dallas Mavericks (3),4,Oklahoma City Thunder (4),1,DAL (-240),OKC (+200)
2011,Finals,Dallas Mavericks (3),4,Miami Heat (2),2,MIA (-175),DAL (+155)
2010,Eastern Conf First Round,Cleveland Cavaliers (1),4,Chicago Bulls (8),1,CLE (-3000),CHI (+1400)
2010,Eastern Conf First Round,Orlando Magic (2),4,Charlotte Bobcats (7),0,ORL (-1000),CHA (+650)
2010,Eastern Conf First Round,Atlanta Hawks (3),4,Milwaukee Bucks (6),3,ATL (-750),MIL (+550)
2010,Eastern Conf First Round,Boston Celtics (4),4,Miami Heat (5),1,BOS (-175),MIA (+155)
2010,Western Conf First Round,Los Angeles Lakers (1),4,Oklahoma City Thunder (8),2,LAL (-800),OKC (+600)
2010,Western Conf First Round,San Antonio Spurs (7),4,Dallas Mavericks (2),2,DAL (-150),SAS (+130)
2010,Western Conf First Round,Phoenix Suns (3),4,Portland Trail Blazers (6),2,PHO (-500),POR (+400)
2010,Western Conf First Round,Utah Jazz (5),4,Denver Nuggets (4),2,DEN (-175),UTA (+150)
2010,Eastern Conf Semifinals,Boston Celtics (4),4,Cleveland Cavaliers (1),2,CLE (-480),BOS (+380)
2010,Eastern Conf Semifinals,Orlando Magic (2),4,Atlanta Hawks (3),0,ORL (-800),ATL (+550)
2010,Western Conf Semifinals,Los Angeles Lakers (1),4,Utah Jazz (5),0,LAL (-420),UTA (+310)
2010,Western Conf Semifinals,Phoenix Suns (3),4,San Antonio Spurs (7),0,PHO (-140),SAS (+120)
2010,Western Conf Finals,Los Angeles Lakers (1),4,Phoenix Suns (3),2,LAL (-340),PHO (+270)
2010,Eastern Conf Finals,Boston Celtics (4),4,Orlando Magic (2),2,ORL (-260),BOS (+220)
2010,Finals,Los Angeles Lakers (1),4,Boston Celtics (4),3,LAL (-190),BOS (+165)
2009,Eastern Conf First Round,Cleveland Cavaliers (1),4,Detroit Pistons (8),0,CLE (-5000),DET (+3000)
2009,Eastern Conf First Round,Boston Celtics (2),4,Chicago Bulls (7),3,BOS (-545),CHI (+405)
2009,Eastern Conf First Round,Orlando Magic (3),4,Philadelphia 76ers (6),2,ORL (-1400),PHI (+800)
2009,Eastern Conf First Round,Atlanta Hawks (4),4,Miami Heat (5),3,ATL (-145),MIA (+125)
2009,Western Conf First Round,Los Angeles Lakers (1),4,Utah Jazz (8),1,LAL (-2000),UTA (+1200)
2009,Western Conf First Round,Denver Nuggets (2),4,New Orleans Hornets (7),1,DEN (-210),NOH (+175)
2009,Western Conf First Round,Dallas Mavericks (6),4,San Antonio Spurs (3),1,SAS (-190),DAL (+160)
2009,Western Conf First Round,Houston Rockets (5),4,Portland Trail Blazers (4),2,POR (-175),HOU (+150)
2009,Western Conf Semifinals,Los Angeles Lakers (1),4,Houston Rockets (5),3,LAL (-1100),HOU (+700)
2009,Western Conf Semifinals,Denver Nuggets (2),4,Dallas Mavericks (6),1,DEN (-240),DAL (+200)
2009,Eastern Conf Semifinals,Cleveland Cavaliers (1),4,Atlanta Hawks (4),0,CLE (-2450),ATL (+1000)
2009,Eastern Conf Semifinals,Orlando Magic (3),4,Boston Celtics (2),3,BOS (-120),ORL (+100)
2009,Eastern Conf Finals,Orlando Magic (3),4,Cleveland Cavaliers (1),2,CLE (-700),ORL (+550)
2009,Western Conf Finals,Los Angeles Lakers (1),4,Denver Nuggets (2),2,LAL (-250),DEN (+210)
2009,Finals,Los Angeles Lakers (1),4,Orlando Magic (3),1,LAL (-280),ORL (+240)
2008,Eastern Conf First Round,Boston Celtics (1),4,Atlanta Hawks (8),3,BOS (-8000),ATL (+4000)
2008,Eastern Conf First Round,Detroit Pistons (2),4,Philadelphia 76ers (7),2,DET (-1300),PHI (+850)
2008,Eastern Conf First Round,Orlando Magic (3),4,Toronto Raptors (6),1,ORL (-310),TOR (+260)
2008,Eastern Conf First Round,Cleveland Cavaliers (4),4,Washington Wizards (5),2,CLE (-115),WAS (-105)
2008,Western Conf First Round,Los Angeles Lakers (1),4,Denver Nuggets (8),0,LAL (-560),DEN (+460)
2008,Western Conf First Round,New Orleans Hornets (2),4,Dallas Mavericks (7),1,NOH (-145),DAL (+125)
2008,Western Conf First Round,San Antonio Spurs (3),4,Phoenix Suns (6),1,SAS (-140),PHO (+120)
2008,Western Conf First Round,Utah Jazz (4),4,Houston Rockets (5),2,UTA (-215),HOU (+185)
2008,Eastern Conf Semifinals,Boston Celtics (1),4,Cleveland Cavaliers (4),3,BOS (-900),CLE (+600)
2008,Eastern Conf Semifinals,Detroit Pistons (2),4,Orlando Magic (3),1,DET (-305),ORL (+255)
2008,Western Conf Semifinals,Los Angeles Lakers (1),4,Utah Jazz (4),2,LAL (-350),UTA (+290)
2008,Western Conf Semifinals,San Antonio Spurs (3),4,New Orleans Hornets (2),3,SAS (-135),NOH (+115)
2008,Eastern Conf Finals,Boston Celtics (1),4,Detroit Pistons (2),2,BOS (-135),DET (+115)
2008,Western Conf Finals,Los Angeles Lakers (1),4,San Antonio Spurs (3),1,LAL (-250),SAS (+210)
2008,Finals,Boston Celtics (1),4,Los Angeles Lakers (1),2,LAL (-180),BOS (+160)
2007,Eastern Conf First Round,Chicago Bulls (5),4,Miami Heat (4),0,CHI (-140),MIA (+120)
2007,Eastern Conf First Round,Cleveland Cavaliers (2),4,Washington Wizards (7),0,CLE (-2400),WAS (+1600)
2007,Eastern Conf First Round,Detroit Pistons (1),4,Orlando Magic (8),0,DET (-2200),ORL (+1400)
2007,Eastern Conf First Round,New Jersey Nets (6),4,Toronto Raptors (3),2,TOR (-165),NJN (+145)
2007,Western Conf First Round,Golden State Warriors (8),4,Dallas Mavericks (1),2,DAL (-1800),GSW (+1200)
2007,Western Conf First Round,Phoenix Suns (2),4,Los Angeles Lakers (7),1,PHO (-1600),LAL (+1000)
2007,Western Conf First Round,San Antonio Spurs (3),4,Denver Nuggets (6),1,SAS (-750),DEN (+550)
2007,Western Conf First Round,Utah Jazz (4),4,Houston Rockets (5),3,HOU (-240),UTA (+200)
2007,Eastern Conf Semifinals,Cleveland Cavaliers (2),4,New Jersey Nets (6),2,CLE (-260),NJN (+220)
2007,Eastern Conf Semifinals,Detroit Pistons (1),4,Chicago Bulls (5),2,DET (-175),CHI (+155)
2007,Western Conf Semifinals,San Antonio Spurs (3),4,Phoenix Suns (2),2,PHO (-150),SAS (+130)
2007,Western Conf Semifinals,Utah Jazz (4),4,Golden State Warriors (8),1,UTA (-135),GSW (+115)
2007,Eastern Conf Finals,Cleveland Cavaliers (2),4,Detroit Pistons (1),2,DET (-330),CLE (+270)
2007,Western Conf Finals,San Antonio Spurs (3),4,Utah Jazz (4),1,SAS (-440),UTA (+350)
2007,Finals,San Antonio Spurs (3),4,Cleveland Cavaliers (2),0,SAS (-450),CLE (+360)
2006,Eastern Conf First Round,Cleveland Cavaliers (4),4,Washington Wizards (5),2,CLE (-180),WAS (+160)
2006,Eastern Conf First Round,Detroit Pistons (1),4,Milwaukee Bucks (8),1,DET (-5500),MIL (+3250)
2006,Eastern Conf First Round,Miami Heat (2),4,Chicago Bulls (7),2,MIA (-850),CHI (+625)
2006,Eastern Conf First Round,New Jersey Nets (3),4,Indiana Pacers (6),2,NJN (-325),IND (+275)
2006,Western Conf First Round,Dallas Mavericks (4),4,Memphis Grizzlies (5),0,DAL (-725),MEM (+525)
2006,Western Conf First Round,Los Angeles Clippers (6),4,Denver Nuggets (3),1,LAC (-185),DEN (+145)
2006,Western Conf First Round,Phoenix Suns (2),4,Los Angeles Lakers (7),3,PHO (-360),LAL (+300)
2006,Western Conf First Round,San Antonio Spurs (1),4,Sacramento Kings (8),2,SAS (-1050),SAC (+725)
2006,Eastern Conf Semifinals,Detroit Pistons (1),4,Cleveland Cavaliers (4),3,DET (-2000),CLE (+1200)
2006,Eastern Conf Semifinals,Miami Heat (2),4,New Jersey Nets (3),1,MIA (-190),NJN (+160)
2006,Western Conf Semifinals,Dallas Mavericks (4),4,San Antonio Spurs (1),3,SAS (-180),DAL (+150)
2006,Western Conf Semifinals,Phoenix Suns (2),4,Los Angeles Clippers (6),3,PHO (-205),LAC (+185)
2006,Eastern Conf Finals,Miami Heat (2),4,Detroit Pistons (1),2,DET (-245),MIA (+205)
2006,Western Conf Finals,Dallas Mavericks (4),4,Phoenix Suns (2),2,DAL (-355),PHO (+295)
2006,Finals,Miami Heat (2),4,Dallas Mavericks (4),2,DAL (-150),MIA (+130)
2005,Eastern Conf First Round,Detroit Pistons (2),4,Philadelphia 76ers (7),1,DET (-1200),PHI (+800)
2005,Eastern Conf First Round,Indiana Pacers (6),4,Boston Celtics (3),3,BOS (-135),IND (+115)
2005,Eastern Conf First Round,Miami Heat (1),4,New Jersey Nets (8),0,MIA (-1200),NJN (+800)
2005,Eastern Conf First Round,Washington Wizards (5),4,Chicago Bulls (4),2,CHI (-145),WAS (+125)
2005,Western Conf First Round,Dallas Mavericks (4),4,Houston Rockets (5),3,DAL (-220),HOU (+180)
2005,Western Conf First Round,Phoenix Suns (1),4,Memphis Grizzlies (8),0,PHO (-1200),MEM (+800)
2005,Western Conf First Round,San Antonio Spurs (2),4,Denver Nuggets (7),1,SAS (-500),DEN (+400)
2005,Western Conf First Round,Seattle SuperSonics (3),4,Sacramento Kings (6),1,SAC (-120),SEA (+100)
2005,Eastern Conf Semifinals,Detroit Pistons (2),4,Indiana Pacers (6),2,DET (-1100),IND (+700)
2005,Eastern Conf Semifinals,Miami Heat (1),4,Washington Wizards (5),0,MIA (-1800),WAS (+1200)
2005,Western Conf Semifinals,Phoenix Suns (1),4,Dallas Mavericks (4),2,PHO (-300),DAL (+220)
2005,Western Conf Semifinals,San Antonio Spurs (2),4,Seattle SuperSonics (3),2,SAS (-1200),SEA (+800)
2005,Eastern Conf Finals,Detroit Pistons (2),4,Miami Heat (1),3,MIA (-130),DET (+110)
2005,Western Conf Finals,San Antonio Spurs (2),4,Phoenix Suns (1),1,SAS (-160),PHO (+140)
2005,Finals,San Antonio Spurs (2),4,Detroit Pistons (2),3,SAS (-250),DET (+200)
2004,Eastern Conf First Round,Detroit Pistons (3),4,Milwaukee Bucks (6),1,DET (-1780),MIL (+1430)
